"time","sales","year","month"
1,135.481871323888,2000,"01_January"
2,281.758728785879,2000,"02_February"
3,170.800636930761,2000,"03_March"
4,171.095116145468,2000,"04_April"
5,179.024920425736,2000,"05_May"
6,55.1652539151941,2000,"06_June"
7,70.4598583535268,2000,"07_July"
8,82.3661413835162,2000,"08_August"
9,49.148350491848,2000,"09_September"
10,197.212800614103,2000,"10_October"
11,272.561542697243,2000,"11_November"
12,831.107619819645,2000,"12_December"
13,120.372857197974,2001,"01_January"
14,177.290345550187,2001,"02_February"
15,69.5043386629555,2001,"03_March"
16,162.734348666696,2001,"04_April"
17,166.993356310065,2001,"05_May"
18,85.0711621001169,2001,"06_June"
19,86.605676525071,2001,"07_July"
20,81.142845863572,2001,"08_August"
21,61.6445926206503,2001,"09_September"
22,153.974853963159,2001,"10_October"
23,350.211309268007,2001,"11_November"
24,604.78754769948,2001,"12_December"
25,176.36643699572,2002,"01_January"
26,286.892667557155,2002,"02_February"
27,183.520168450935,2002,"03_March"
28,130.278769607952,2002,"04_April"
29,192.308991940963,2002,"05_May"
30,83.0557353382008,2002,"06_June"
31,84.5128855895623,2002,"07_July"
32,58.5038567546216,2002,"08_August"
33,95.7946644363015,2002,"09_September"
34,214.188088666737,2002,"10_October"
35,428.529051687798,2002,"11_November"
36,669.096756805303,2002,"12_December"
37,176.087453412263,2003,"01_January"
38,163.852038818085,2003,"02_February"
39,179.277508591939,2003,"03_March"
40,173.298728419242,2003,"04_April"
41,157.06038791234,2003,"05_May"
42,89.5506687486683,2003,"06_June"
43,72.2709095375416,2003,"07_July"
44,91.2294771539749,2003,"08_August"
45,73.552610231478,2003,"09_September"
46,167.162350327349,2003,"10_October"
47,496.644462364817,2003,"11_November"
48,886.520329610853,2003,"12_December"
49,194.025580575769,2004,"01_January"
50,282.711902578112,2004,"02_February"
51,111.607578971514,2004,"03_March"
52,153.74896075727,2004,"04_April"
53,219.225811271956,2004,"05_May"
54,68.4071280879118,2004,"06_June"
55,78.1772832764995,2004,"07_July"
56,53.2900765159261,2004,"08_August"
57,72.6697250029483,2004,"09_September"
58,206.953499482232,2004,"10_October"
59,446.447393835563,2004,"11_November"
60,978.765546414739,2004,"12_December"
61,147.169468169245,2005,"01_January"
62,300.76934557732,2005,"02_February"
63,132.443173800448,2005,"03_March"
64,118.614912056883,2005,"04_April"
65,190.562391673189,2005,"05_May"
66,84.566284624751,2005,"06_June"
67,64.6857576462202,2005,"07_July"
68,36.854401279921,2005,"08_August"
69,71.8867806077143,2005,"09_September"
70,191.954974017195,2005,"10_October"
71,400.671232802802,2005,"11_November"
72,723.150207028977,2005,"12_December"
73,213.069369696556,2006,"01_January"
74,251.858423969307,2006,"02_February"
75,138.325796987794,2006,"03_March"
76,163.348590820015,2006,"04_April"
77,172.703561663321,2006,"05_May"
78,65.5654795933251,2006,"06_June"
79,89.4543649078246,2006,"07_July"
80,44.6632415854058,2006,"08_August"
81,79.2321519858361,2006,"09_September"
82,243.204810502684,2006,"10_October"
83,400.68530956238,2006,"11_November"
84,695.64910324239,2006,"12_December"
85,93.9146907914996,2007,"01_January"
86,337.495093090942,2007,"02_February"
87,162.013426087958,2007,"03_March"
88,157.533799373134,2007,"04_April"
89,182.615798217424,2007,"05_May"
90,90.9464336357046,2007,"06_June"
91,81.0813850976738,2007,"07_July"
92,72.5250172245861,2007,"08_August"
93,64.841093651224,2007,"09_September"
94,166.763647515303,2007,"10_October"
95,236.411063205254,2007,"11_November"
96,1068.62218340822,2007,"12_December"
97,167.742933047228,2008,"01_January"
98,278.868703107766,2008,"02_February"
99,178.138651212316,2008,"03_March"
100,152.283092533176,2008,"04_April"
101,182.791637736678,2008,"05_May"
102,80.1212570610229,2008,"06_June"
103,75.6733071192734,2008,"07_July"
104,52.57625931631,2008,"08_August"
105,96.8402426759656,2008,"09_September"
106,136.344443386851,2008,"10_October"
107,417.09111632655,2008,"11_November"
108,981.988926330343,2008,"12_December"
109,137.878933598709,2009,"01_January"
110,364.378741281637,2009,"02_February"
111,170.888301398429,2009,"03_March"
112,227.637977734706,2009,"04_April"
113,161.27681860098,2009,"05_May"
114,79.322727379226,2009,"06_June"
115,56.5664539444301,2009,"07_July"
116,39.5452494697523,2009,"08_August"
117,77.2884950853839,2009,"09_September"
118,186.201240031345,2009,"10_October"
119,421.793649001927,2009,"11_November"
120,732.756915896643,2009,"12_December"
